Laptop_Titulo,Laptop_Precio,Laptop_Url,CPU_Modelo,RAM_Capacidad,DiscoDuro_Capacidad,SistemaOperativo,Laptop_Marca,Laptop_TPantalla,Laptop_RPantalla,Laptop_Dimensiones,Laptop_Peso,Laptop_Material,Laptop_Color,Laptop_Bateria
Laptop HP 14-CF2519LA 14 Core i3 8GB RAM 256GB SSD FreeDos,"S/ 1819.00
          ",https://www.linio.com.pe/p/laptop-hp-14-cf2519la-14-core-i3-8gb-ram-256gb-ssd-freedos-jt9afy,,,,,,,,,,,,
LAPTOP HP INTEL CELERON N4020 4GB 1TB PANTALLA 14 HD MS REGALO MOUSE,"S/ 1349.00
          ",https://www.linio.com.pe/p/laptop-hp-intel-celeron-n4020-4gb-1tb-pantalla-14-hd-ma-s-regalo-mouse-lh5dgh,"Procesador : Intel Celeron N4020, 2ncleos, 1,10GHz",Memoria RAM : 4GB DDR4,Almacenamiento : 1TB (HDD),*SIN SISTEMA OPERATIVO*,Marca : HP,,,,,,,
Porttil KUU SBOOK M2 Intel Atom x7 E3950 6GB RAM 128GB SSD LAPTOP,"S/ 999.00
          ",https://www.linio.com.pe/p/porta-til-kuu-sbook-m2-intel-atom-x7-e3950-6gb-ram-128gb-ssd-laptop-vbz4bl,CPU: Procesador Intel Atom x7-E3950,,,,,,,,,,,Batera: 30.4Wh (7.6V 4000mAH)
Laptop Lenovo 14W - Black - Amd A6 4Gb 64 GB,"S/ 1049.00
          ",https://www.linio.com.pe/p/laptop-lenovo-14w-black-amd-a6-4gb-64-gb-ynwtsx,Procesador,Memoria,Almacenamiento,Sistema Operativo,,,,,,,,
Laptop Lenovo S145-14Iil 14 Intel Core I5 8Gb 1TB - Platinum Grey,"S/ 2499.00
          ",https://www.linio.com.pe/p/laptop-lenovo-s145-14iil-14-intel-core-i5-8gb-1tb-platinum-grey-wyuz2z,"Procesador: Intel Core i5 1035G4,Velocidad del procesador: 1.1 GHz",Memoria RAM: 8 GB,Capacidad de almacenamiento: 1 TB,Sistema operativo: Windows 10,Marca: Lenovo,,Resolucin de la pantalla: HD,,,,Color: Platinum Grey,
Laptop Lenovo Ideapad 3 15.6' Hd Amd Ryzen 3 8Gb Ram 256Gb Ssd,"S/ 1799.00
          ",https://www.linio.com.pe/p/laptop-lenovo-ideapad-3-156-hd-amd-ryzen-3-8gb-ram-256gb-ssd-vc1l01,"Procesador: AMD RYZEN R3,Modelo del procesador: AMD Ryzen 3 3250U,Generacin del procesador: Serie 3000",Memoria RAM: 8GB,,Sistema operativo: Windows 10 Home,,,Resolucin de la pantalla: HD (1366x768),,Peso: 1.85 kg,,,Duracin aproximada de la batera: Hasta 9.6 horas
LAPTOP LENOVO CORE I3 7020U 2.30GHZ 4GB 1TB 14 HD V14 IKB,"S/ 1499.00
          ",https://www.linio.com.pe/p/laptop-lenovo-core-i3-7020u-230ghz-4gb-1tb-14-hd-v14-ikb-s10htx,Procesador : INTEL CORE i3 7020U 2.30 GHZ,Memoria RAM : 4GB DDR4,Almacenamiento : 1TB SATA,Sistema Operativo : FREE DOS,Marca : LENOVO,,,,,,,
Cargador Lenovo Ideapad 330s 20v 2.25v 45w,"S/ 109.00
          ",https://www.linio.com.pe/p/cargador-lenovo-ideapad-330s-20v-225v-45w-tqc0iv,,,,,,,,,,,,
Laptop Lenovo Ideapad D330 Intel Celeron 4GB 64GB Teclado en Ingles,"S/ 699.00
          ",https://www.linio.com.pe/p/laptop-lenovo-ideapad-d330-intel-celeron-4gb-64gb-teclado-en-ingles-qccupg,"Procesador:Intel Celeron N4020,Velocidad de procesador:1.1Ghz","Lector memoria SD:Si,Memoria RAM:4GB,Memoria expandible:Hasta 128GB (Va Micro SD)",,Sistema operativo:Windows 10 Home modo S (Ingles),,"Tamao de pantalla:10.1""",Resolucin de pantalla:HD 1280x800,,Peso (kg):600 gr (Tablet),,Color:Mineral Grey,
Laptop Lenovo Ideapad D330 Intel Celeron 4GB 64GB Teclado en Ingles,"S/ 699.00
          ",https://www.linio.com.pe/p/laptop-lenovo-ideapad-d330-intel-celeron-4gb-64gb-teclado-en-ingles-osdqqh,"Procesador:Intel Celeron N4020,Velocidad de procesador:1.1Ghz","Lector memoria SD:Si,Memoria RAM:4GB,Memoria expandible:Hasta 128GB (Va Micro SD)",,Sistema operativo:Windows 10 Home modo S (Ingles),,"Tamao de pantalla:10.1""",Resolucin de pantalla:HD 1280x800,,Peso (kg):600 gr (Tablet),,Color:Mineral Grey,
